Sex,Age
male,34.5
female,47.0
male,62.0
male,27.0
female,22.0
male,14.0
female,30.0
male,26.0
female,18.0
male,21.0
male,46.0
female,23.0
male,63.0
female,47.0
female,24.0
male,35.0
male,21.0
female,27.0
female,45.0
male,55.0
male,9.0
male,21.0
female,48.0
male,50.0
female,22.0
male,22.5
male,41.0
male,50.0
male,24.0
female,33.0
male,30.0
male,18.5
female,21.0
male,25.0
male,39.0
male,41.0
female,30.0
female,45.0
male,25.0
male,45.0
female,60.0
female,36.0
male,24.0
male,27.0
female,20.0
female,28.0
male,10.0
male,35.0
male,25.0
female,36.0
male,17.0
male,32.0
male,18.0
female,22.0
male,13.0
female,18.0
male,47.0
male,31.0
female,60.0
female,24.0
male,21.0
female,29.0
male,28.5
female,35.0
male,32.5
female,55.0
male,30.0
female,24.0
male,6.0
male,67.0
male,49.0
female,27.0
female,18.0
male,2.0
female,22.0
female,27.0
male,25.0
male,25.0
female,76.0
male,29.0
female,20.0
male,33.0
female,43.0
male,27.0
male,26.0
female,16.0
male,28.0
male,21.0
male,18.5
male,41.0
female,36.0
female,18.5
female,63.0
male,18.0
female,1.0
male,36.0
female,29.0
female,12.0
female,35.0
male,28.0
female,17.0
male,22.0
male,42.0
male,24.0
male,32.0
male,53.0
male,43.0
male,24.0
male,26.5
male,26.0
female,23.0
male,40.0
female,10.0
female,33.0
male,61.0
male,28.0
male,42.0
male,31.0
male,22.0
male,30.0
female,23.0
male,60.5
female,36.0
male,13.0
male,24.0
female,29.0
female,23.0
male,42.0
female,26.0
male,7.0
female,26.0
male,41.0
female,26.0
male,48.0
male,18.0
female,22.0
male,27.0
male,23.0
male,40.0
female,15.0
female,20.0
male,54.0
female,36.0
female,64.0
male,30.0
male,37.0
female,18.0
female,27.0
male,40.0
female,21.0
male,17.0
male,40.0
male,34.0
male,11.5
male,61.0
male,8.0
male,33.0
male,6.0
female,18.0
male,23.0
male,0.33
male,47.0
female,8.0
male,25.0
female,35.0
male,24.0
female,33.0
male,25.0
male,32.0
male,17.0
female,60.0
female,38.0
male,42.0
male,57.0
female,50.0
female,30.0
male,21.0
female,22.0
male,21.0
female,53.0
male,23.0
male,40.5
male,36.0
male,14.0
female,21.0
male,21.0
male,39.0
male,20.0
male,64.0
male,20.0
female,18.0
female,48.0
female,55.0
female,45.0
male,45.0
male,41.0
female,22.0
male,42.0
female,29.0
female,0.92
male,20.0
male,27.0
male,24.0
male,32.5
male,28.0
female,19.0
male,21.0
male,36.5
male,21.0
female,29.0
female,1.0
male,30.0
male,17.0
male,46.0
female,26.0
female,20.0
male,28.0
male,40.0
male,30.0
male,22.0
female,23.0
male,0.75
female,9.0
female,2.0
male,36.0
male,24.0
female,30.0
male,53.0
male,36.0
male,26.0
female,1.0
male,30.0
male,29.0
male,32.0
male,43.0
male,24.0
female,64.0
male,30.0
male,0.83
male,55.0
female,45.0
male,18.0
male,22.0
female,37.0
female,55.0
female,17.0
male,57.0
male,19.0
male,27.0
male,22.0
male,26.0
male,25.0
male,26.0
male,33.0
female,39.0
male,23.0
female,12.0
male,46.0
male,29.0
male,21.0
female,48.0
male,39.0
female,19.0
male,27.0
male,30.0
male,32.0
male,39.0
male,25.0
male,18.0
male,32.0
female,58.0
female,16.0
male,26.0
female,38.0
male,24.0
female,31.0
female,45.0
male,25.0
male,18.0
male,49.0
female,0.17
male,50.0
female,59.0
female,30.0
male,14.5
female,24.0
female,31.0
male,27.0
female,25.0
female,22.0
female,45.0
male,29.0
male,21.0
female,31.0
male,49.0
male,44.0
female,54.0
female,45.0
female,22.0
male,21.0
male,55.0
male,5.0
male,26.0
female,19.0
female,24.0
male,24.0
male,57.0
male,21.0
male,6.0
male,23.0
female,51.0
male,13.0
male,47.0
male,29.0
female,18.0
male,24.0
female,48.0
male,22.0
male,31.0
female,30.0
male,38.0
female,22.0
male,17.0
male,43.0
male,20.0
male,23.0
male,50.0
female,3.0
female,37.0
female,28.0
female,39.0
male,38.5
